"","coin_ids","coin_names"
"1","01coin","01coin"
"2","0-5x-long-algorand-token","0.5X Long Algorand Token"
"3","0-5x-long-altcoin-index-token","0.5X Long Altcoin Index Token"
"4","0-5x-long-balancer-token","0.5X Long Balancer Token"
"5","0-5x-long-bilibra-token","0.5X Long BiLira Token"
"6","0-5x-long-bitcoin-cash-token","0.5X Long Bitcoin Cash Token"
"7","0-5x-long-bitcoin-sv-token","0.5X Long Bitcoin SV Token"
"8","0-5x-long-bitcoin-token","0.5X Long Bitcoin Token"
"9","0-5x-long-bitmax-token-token","0.5X Long BitMax Token Token"
"10","0-5x-long-bnb-token","0.5X Long BNB Token"
"11","0-5x-long-cardano-token","0.5X Long Cardano Token"
"12","0-5x-long-chainlink-token","0.5X Long Chainlink Token"
"13","0-5x-long-compound-usdt-token","0.5X Long Compound USDT Token"
"14","0-5x-long-cosmos-token","0.5X Long Cosmos Token"
"15","0-5x-long-defi-index-token","0.5X Long DeFi Index Token"
"16","0-5x-long-dogecoin-token","0.5X Long Dogecoin Token"
"17","0-5x-long-dragon-index-token","0.5X Long Dragon Index Token"
"18","0-5x-long-echange-token-index-token","0.5X Long Exchange Token Index Token"
"19","0-5x-long-eos-token","0.5X Long EOS Token"
"20","0-5x-long-ethereum-classic-token","0.5X Long Ethereum Classic Token"
"21","0-5x-long-ethereum-token","0.5X Long Ethereum Token"
"22","0-5x-long-huobi-token-token","0.5X Long Huobi Token Token"
"23","0-5x-long-kyber-network-token","0.5X Long Kyber Network Token"
"24","0-5x-long-leo-token","0.5X Long LEO Token"
"25","0-5x-long-litecoin-token","0.5X Long Litecoin Token"
"26","0-5x-long-matic-token","0.5X Long Matic Token"
"27","0-5x-long-midcap-index-token","0.5X Long Midcap Index Token"
"28","0-5x-long-okb-token","0.5X Long OKB Token"
"29","0-5x-long-pax-gold-token","0.5X Long PAX Gold Token"
"30","0-5x-long-privacy-index-token","0.5X Long Privacy Index Token"
"31","0-5x-long-shitcoin-index-token","0.5X Long Shitcoin Index Token"
"32","0-5x-long-swipe-token","0.5X Long Swipe Token"
"33","0-5x-long-tether-gold-token","0.5X Long Tether Gold Token"
"34","0-5x-long-tether-token","0.5X Long Tether Token"
"35","0-5x-long-tezos-token","0.5X Long Tezos Token"
"36","0-5x-long-theta-network-token","0.5X Long Theta Network Token"
"37","0-5x-long-tomochain-token","0.5X Long TomoChain Token"
"38","0-5x-long-trx-token","0.5X Long TRX Token"
"39","0-5x-long-xrp-token","0.5X Long XRP Token"
"40","0cash","0cash"
"41","0chain","0chain"
"42","0x","0x"
"43","0xcert","0xcert"
"44","0xdark","0xDark"
"45","0xethereum-token","0xEthereum Token"
"46","0xkojo","0xKOJO"
"47","0xmonero","0xMonero"
"48","0xzar","0xZAR"
"49","100-waves-eth-btc-set","100 Waves ETH/BTC Set"
"50","100-waves-ethusd-ether-hoard-set","100 Waves ETH/USD Ether Hoard Set"
"51","100-waves-eth-usd-yield-set","100 Waves ETH/USD Yield Set"
"52","12h-ichimoku-ha-ema-breakout-set","12H Ichimoku HA EMA Breakout Set"
"53","12ships","12Ships"
"54","1337","Elite"
"55","15634-liberal-st-detroit-mi-48205","RealToken 15634 Liberal St Detroit MI"
"56","18900-mansfield-st-detroit-mi-48235","RealToken 18900 Mansfield St Detroit MI"
"57","1ai","1AI"
"58","1clicktoken","1ClickToken"
"59","1irstcoin","1irstcoin"
"60","1million-token","1Million Token"
"61","1sg","1SG"
"62","1world","1World"
"63","1x2-coin","1X2 Coin"
"64","1x-long-btc-implied-volatility-token","Bitcoin Volatility Token"
"65","1x-short-algorand-token","1X Short Algorand Token"
"66","1x-short-altcoin-index-token","1X Short Altcoin Index Token"
"67","1x-short-bilira-token","1X Short BiLira Token"
"68","1x-short-bitcoin-cash-token","1X Short Bitcoin Cash Token"
"69","1x-short-bitcoin-sv-token","1X Short Bitcoin SV Token"
"70","1x-short-bitcoin-token","1X Short Bitcoin Token"
"71","1x-short-bitmax-token-token","1X Short BitMax Token Token"
"72","1x-short-bnb-token","1X Short BNB Token"
"73","1x-short-btc-implied-volatility","Inverse Bitcoin Volatility Token"
"74","1x-short-cardano-token","1X Short Cardano Token"
"75","1x-short-chainlink-token","1X Short Chainlink Token"
"76","1x-short-compound-token-token","1X Short Compound Token Token"
"77","1x-short-compound-usdt-token","1X Short Compound USDT Token"
"78","1x-short-cosmos-token","1X Short Cosmos Token"
"79","1x-short-defi-index-token","1X Short DeFi Index Token"
"80","1x-short-dogecoin-token","1X Short Dogecoin Token"
"81","1x-short-dragon-index-token","1X Short Dragon Index Token"
"82","1x-short-eos-token","1X Short EOS Token"
"83","1x-short-ethereum-classic-token","1X Short Ethereum Classic Token"
"84","1x-short-ethereum-token","1X Short Ethereum Token"
"85","1x-short-exchange-token-index-token","1X Short Exchange Token Index Token"
"86","1x-short-huobi-token-token","1X Short Huobi Token Token"
"87","1x-short-kyber-network-token","1X Short Kyber Network Token"
"88","1x-short-leo-token","1X Short LEO Token"
"89","1x-short-litecoin-token","1X Short Litecoin Token"
"90","1x-short-matic-token","1X Short Matic Token"
"91","1x-short-midcap-index-token","1X Short Midcap Index Token"
"92","1x-short-okb-token","1X Short OKB Token"
"93","1x-short-privacy-index-token","1X Short Privacy Index Token"
"94","1x-short-shitcoin-index-token","1X Short Shitcoin Index Token"
"95","1x-short-swipe-token","1X Short Swipe Token"
"96","1x-short-tether-gold-token","1X Short Tether Gold Token"
"97","1x-short-tether-token","1X Short Tether Token"
"98","1x-short-tezos-token","1X Short Tezos Token"
"99","1x-short-theta-network-token","1X Short Theta Network Token"
"100","1x-short-tomochain-token","1X Short TomoChain Token"
"101","1x-short-trx-token","1X Short TRX Token"
"102","1x-short-vechain-token","1X Short VeChain Token"
"103","1x-short-xrp-token","1X Short XRP Token"
"104","21vianet-group-inc","21Vianet Group, Inc."
"105","2-2-4-4-8","2+2=4+4=8"
"106","2acoin","2ACoin"
"107","2give","2GIVE"
"108","2key","2key.network"
"109","2x2","2X2"
"110","300fit","300FIT"
"111","360-tribe","360 Tribe"
